300000.0Hz wait=60periodstc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.375252e-06,1.268672e+02,4.814136e-04,3.000000e+05,0,3,1,2
-1.126337e-03,1.316812e+02,4.673858e-04,3.000000e+05,1,4,2,3
-6.248034e-07,1.050584e+02,4.610410e-04,3.000000e+05,2,5,3,4
1.681229e-07,8.605053e+01,4.518722e-04,3.000000e+05,3,6,4,5
-7.857205e-07,1.073757e+02,4.419553e-04,3.000000e+05,4,7,5,6
1.471614e-06,4.867478e+01,4.333000e-04,3.000000e+05,5,8,6,7
4.346402e-07,7.917708e+01,4.230748e-04,3.000000e+05,6,9,7,8
6.747035e-08,8.737531e+01,4.119431e-04,3.000000e+05,7,10,8,9
-2.635456e-07,9.669733e+01,3.952790e-04,3.000000e+05,8,11,9,10
-7.163987e-07,1.107082e+02,3.807025e-04,3.000000e+05,9,12,10,11
-9.327705e-07,1.185349e+02,3.647847e-04,3.000000e+05,10,13,11,12
-8.839955e-07,1.006097e+02,3.688408e-04,3.000000e+05,11,14,12,13
6.001675e-07,7.554073e+01,3.812411e-04,3.000000e+05,12,15,13,14
-1.649460e-06,1.363677e+02,4.004031e-04,3.000000e+05,13,16,14,15
-1.087685e-06,1.286453e+02,3.994315e-04,3.000000e+05,14,17,15,16
-1.230923e-06,1.316250e+02,3.995998e-04,3.000000e+05,15,18,16,17
7.138188e-06,4.816033e+01,3.916610e-04,3.000000e+05,16,19,17,18
-1.790262e-06,1.411025e+02,3.942014e-04,3.000000e+05,17,20,18,19
-5.169956e-07,1.010275e+02,3.865987e-04,3.000000e+05,18,21,19,20
-1.913905e-06,1.397959e+02,3.822347e-04,3.000000e+05,19,22,20,21
-1.667156e-06,1.388043e+02,3.779288e-04,3.000000e+05,20,23,21,22
-1.932674e-06,1.436083e+02,3.761802e-04,3.000000e+05,21,24,22,23
-1.703935e-06,1.377992e+02,3.710591e-04,3.000000e+05,22,25,23,24
-6.870408e-07,1.054646e+02,3.636939e-04,3.000000e+05,23,26,24,25
-1.552480e-06,1.380271e+02,3.490064e-04,3.000000e+05,24,27,25,26
-1.828738e-06,1.444700e+02,3.275115e-04,3.000000e+05,25,28,26,27
-1.112788e-06,1.143424e+02,3.184717e-04,3.000000e+05,26,29,27,28
-1.870053e-06,1.403660e+02,3.180798e-04,3.000000e+05,27,30,28,29
-6.297990e-07,1.050143e+02,3.209237e-04,3.000000e+05,28,31,29,30
4.745963e-08,8.793427e+01,3.255595e-04,3.000000e+05,29,0,30,31
-9.412674e-07,1.420933e+02,3.302936e-04,3.000000e+05,30,1,31,0
-1.627925e-06,1.289082e+02,3.300818e-04,3.000000e+05,31,2,0,1
