30.0Hz wait=60periods tc=12[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-8.602154e-04,1.797897e+02,3.334764e-04,3.000000e+01,0,3,1,2
-7.229139e-04,-1.777050e+02,3.334764e-04,3.000000e+01,1,4,2,3
-1.314211e-03,-1.792467e+02,3.269493e-04,3.000000e+01,2,5,3,4
-1.426687e-03,1.787233e+02,3.218818e-04,3.000000e+01,3,6,4,5
-1.638707e-03,1.797824e+02,3.218818e-04,3.000000e+01,4,7,5,6
-1.807394e-03,1.745397e+02,3.270078e-04,3.000000e+01,5,8,6,7
-1.813147e-03,1.699274e+02,3.366775e-04,3.000000e+01,6,9,7,8
-1.781359e-03,1.775251e+02,3.366775e-04,3.000000e+01,7,10,8,9
-1.823037e-03,1.798116e+02,3.499922e-04,3.000000e+01,8,11,9,10
-1.515874e-03,1.797146e+02,3.547759e-04,3.000000e+01,9,12,10,11
-1.625857e-03,1.798385e+02,3.547759e-04,3.000000e+01,10,13,11,12
-1.096666e-03,-1.785899e+02,3.587524e-04,3.000000e+01,11,14,12,13
-8.868315e-04,1.794938e+02,3.587524e-04,3.000000e+01,12,15,13,14
-8.360314e-04,1.792299e+02,3.500717e-04,3.000000e+01,13,16,14,15
-8.108846e-04,-1.774185e+02,3.446996e-04,3.000000e+01,14,17,15,16
-7.624669e-04,-1.790600e+02,3.446996e-04,3.000000e+01,15,18,16,17
-7.579554e-04,-1.798651e+02,3.440694e-04,3.000000e+01,16,19,17,18
-6.852996e-04,-1.797699e+02,3.445166e-04,3.000000e+01,17,20,18,19
-6.974199e-04,1.799534e+02,3.445166e-04,3.000000e+01,18,21,19,20
-7.948012e-04,-1.775383e+02,3.453292e-04,3.000000e+01,19,22,20,21
-7.522038e-04,-1.795094e+02,3.452545e-04,3.000000e+01,20,23,21,22
-7.515698e-04,1.798118e+02,3.452545e-04,3.000000e+01,21,24,22,23
-7.520037e-04,-1.798987e+02,3.454862e-04,3.000000e+01,22,25,23,24
-6.997081e-04,-1.747768e+02,3.460068e-04,3.000000e+01,23,26,24,25
-7.556002e-04,-1.794503e+02,3.460068e-04,3.000000e+01,24,27,25,26
-6.910557e-04,1.789642e+02,3.463908e-04,3.000000e+01,25,28,26,27
-8.502581e-04,-1.791289e+02,3.464386e-04,3.000000e+01,26,29,27,28
-6.989933e-04,1.791945e+02,3.464386e-04,3.000000e+01,27,30,28,29
-7.303932e-04,1.787085e+02,3.467712e-04,3.000000e+01,28,31,29,30
-7.522330e-04,1.792383e+02,3.467712e-04,3.000000e+01,29,0,30,31
-7.620727e-04,1.791912e+02,3.471464e-04,3.000000e+01,30,1,31,0
-6.772836e-04,1.787909e+02,3.476642e-04,3.000000e+01,31,2,0,1
