300000.0Hz wait=60periods tc=4[x,theta, xnoise,fint,sin+,sin-,v+,v-]
-1.167103e-06,1.218306e+02,4.845980e-04,3.000000e+05,0,3,1,2
5.381133e-07,7.758372e+01,4.707588e-04,3.000000e+05,1,4,2,3
-1.071495e-06,1.179579e+02,4.616095e-04,3.000000e+05,2,5,3,4
-6.170451e-07,1.060354e+02,4.550386e-04,3.000000e+05,3,6,4,5
-2.519597e-07,9.701077e+01,4.379346e-04,3.000000e+05,4,7,5,6
-9.018182e-07,1.119002e+02,4.349732e-04,3.000000e+05,5,8,6,7
-1.005846e-06,1.155997e+02,4.225438e-04,3.000000e+05,6,9,7,8
-4.094296e-07,1.040574e+02,4.067130e-04,3.000000e+05,7,10,8,9
2.375816e-10,8.999462e+01,3.897795e-04,3.000000e+05,8,11,9,10
-7.581025e-07,1.087616e+02,3.769248e-04,3.000000e+05,9,12,10,11
-1.021749e-03,1.453588e+02,3.780652e-04,3.000000e+05,10,13,11,12
-7.162730e-07,1.147292e+02,3.790685e-04,3.000000e+05,11,14,12,13
-1.272816e-06,1.344864e+02,3.898779e-04,3.000000e+05,12,15,13,14
-9.787952e-07,1.286854e+02,4.076328e-04,3.000000e+05,13,16,14,15
-1.309487e-06,1.301068e+02,4.111838e-04,3.000000e+05,14,17,15,16
-1.051519e-07,9.239969e+01,4.031401e-04,3.000000e+05,15,18,16,17
-1.350024e-06,1.295722e+02,4.009585e-04,3.000000e+05,16,19,17,18
-9.758968e-07,1.121099e+02,3.984419e-04,3.000000e+05,17,20,18,19
-1.699011e-06,1.411795e+02,3.926038e-04,3.000000e+05,18,21,19,20
-1.645027e-06,1.453179e+02,3.877016e-04,3.000000e+05,19,22,20,21
-1.876229e-06,1.448579e+02,3.865097e-04,3.000000e+05,20,23,21,22
-1.721192e-06,1.420981e+02,3.819374e-04,3.000000e+05,21,24,22,23
-1.419723e-07,9.464144e+01,3.777422e-04,3.000000e+05,22,25,23,24
-1.666793e-06,1.437447e+02,3.749272e-04,3.000000e+05,23,26,24,25
-1.488094e-06,1.358448e+02,3.472350e-04,3.000000e+05,24,27,25,26
-1.692577e-06,1.344783e+02,3.276880e-04,3.000000e+05,25,28,26,27
-7.050047e-07,1.055968e+02,3.282345e-04,3.000000e+05,26,29,27,28
-1.891835e-06,1.415584e+02,3.171944e-04,3.000000e+05,27,30,28,29
-1.994149e-06,1.456757e+02,3.207435e-04,3.000000e+05,28,31,29,30
-1.905187e-06,1.412172e+02,3.302728e-04,3.000000e+05,29,0,30,31
-5.018165e-07,1.055369e+02,3.310484e-04,3.000000e+05,30,1,31,0
-1.471609e-06,1.259125e+02,3.344562e-04,3.000000e+05,31,2,0,1
