sin+,sin-,v_high,v_low,voltage
0,1,3,2,-1.937373e-03
0,1,4,3,-2.564881e-03
0,1,5,4,-2.699332e-03
0,1,6,5,-2.735697e-03
0,1,7,6,-2.727588e-03
0,1,8,7,-2.714356e-03
0,1,9,8,-2.719112e-03
0,1,10,9,-2.706908e-03
0,1,11,10,-2.723062e-03
0,1,12,11,-2.725052e-03
0,1,13,12,-2.724082e-03
0,1,14,13,-2.718273e-03
0,1,15,14,-2.725349e-03
0,1,16,15,-2.728811e-03
0,1,17,16,-2.724005e-03
0,1,18,17,-2.716076e-03
0,1,19,18,-2.726752e-03
0,1,20,19,-2.729154e-03
0,1,21,20,-2.727202e-03
0,1,22,21,-2.720785e-03
0,1,23,22,-2.705841e-03
0,1,24,23,-2.725902e-03
0,1,25,24,-2.726126e-03
0,1,26,25,-2.724202e-03
0,1,27,26,-2.715634e-03
0,1,28,27,-2.711682e-03
0,1,29,28,-2.727171e-03
0,1,30,29,-2.728823e-03
0,1,31,30,-2.726213e-03
1,2,4,3,-2.707843e-03
1,2,5,4,-2.699707e-03
1,2,6,5,-2.707460e-03
1,2,7,6,-2.712325e-03
1,2,8,7,-2.713849e-03
1,2,9,8,-2.714391e-03
1,2,10,9,-2.723925e-03
1,2,11,10,-2.721777e-03
1,2,12,11,-2.710497e-03
1,2,13,12,-2.704210e-03
1,2,14,13,-2.710566e-03
1,2,15,14,-2.730513e-03
1,2,16,15,-2.737647e-03
1,2,17,16,-2.725008e-03
1,2,18,17,-2.724047e-03
1,2,19,18,-2.723963e-03
1,2,20,19,-2.705826e-03
1,2,21,20,-2.708679e-03
1,2,22,21,-2.715729e-03
1,2,23,22,-2.719367e-03
1,2,24,23,-2.721888e-03
1,2,25,24,-2.704143e-03
1,2,26,25,-2.706794e-03
1,2,27,26,-2.724336e-03
1,2,28,27,-2.713261e-03
1,2,29,28,-2.716487e-03
1,2,30,29,-2.717847e-03
1,2,31,30,-2.714088e-03
1,2,0,31,-2.713815e-03
2,3,1,0,-2.720955e-03
2,3,5,4,-2.720817e-03
2,3,6,5,-2.733494e-03
2,3,7,6,-2.732996e-03
2,3,8,7,-2.710870e-03
2,3,9,8,-2.705296e-03
2,3,10,9,-2.719500e-03
2,3,11,10,-2.716917e-03
2,3,12,11,-2.716677e-03
2,3,13,12,-2.713476e-03
2,3,14,13,-2.721359e-03
2,3,15,14,-2.704361e-03
2,3,16,15,-2.727135e-03
2,3,17,16,-2.732640e-03
2,3,18,17,-2.729126e-03
2,3,19,18,-2.721129e-03
2,3,20,19,-2.705486e-03
2,3,21,20,-2.727613e-03
2,3,22,21,-2.720038e-03
2,3,23,22,-2.730046e-03
2,3,24,23,-2.711975e-03
2,3,25,24,-2.718219e-03
2,3,26,25,-2.713297e-03
2,3,27,26,-2.722248e-03
2,3,28,27,-2.722484e-03
2,3,29,28,-2.708998e-03
2,3,30,29,-2.695060e-03
2,3,31,30,-2.714409e-03
2,3,0,31,-2.729088e-03
3,4,1,0,-2.734221e-03
3,4,2,1,-2.725644e-03
3,4,6,5,-2.708892e-03
3,4,7,6,-2.721204e-03
3,4,8,7,-2.706766e-03
3,4,9,8,-2.718612e-03
3,4,10,9,-2.725644e-03
3,4,11,10,-2.723548e-03
3,4,12,11,-2.710280e-03
3,4,13,12,-2.712927e-03
3,4,14,13,-2.721024e-03
3,4,15,14,-2.731192e-03
3,4,16,15,-2.721607e-03
3,4,17,16,-2.718987e-03
3,4,18,17,-2.723811e-03
3,4,19,18,-2.729030e-03
3,4,20,19,-2.720479e-03
3,4,21,20,-2.735269e-03
3,4,22,21,-2.733673e-03
3,4,23,22,-2.714661e-03
3,4,24,23,-2.714603e-03
3,4,25,24,-2.723093e-03
3,4,26,25,-2.721799e-03
3,4,27,26,-2.727994e-03
3,4,28,27,-2.724739e-03
3,4,29,28,-2.712619e-03
3,4,30,29,-2.712983e-03
3,4,31,30,-2.705001e-03
3,4,0,31,-2.707962e-03
4,5,1,0,-2.725182e-03
4,5,2,1,-2.723388e-03
4,5,3,2,-2.716251e-03
4,5,7,6,-2.724189e-03
4,5,8,7,-2.732290e-03
4,5,9,8,-2.721995e-03
4,5,10,9,-2.731187e-03
4,5,11,10,-2.728501e-03
4,5,12,11,-2.714406e-03
4,5,13,12,-2.714427e-03
4,5,14,13,-2.701821e-03
4,5,15,14,-2.714538e-03
4,5,16,15,-2.722215e-03
4,5,17,16,-2.721569e-03
4,5,18,17,-2.720295e-03
4,5,19,18,-2.712408e-03
4,5,20,19,-2.721820e-03
4,5,21,20,-2.743514e-03
4,5,22,21,-2.727772e-03
4,5,23,22,-2.713661e-03
4,5,24,23,-2.728767e-03
4,5,25,24,-2.728690e-03
4,5,26,25,-2.721099e-03
