sin+,sin-,v_high,v_low,voltage
0,1,18,2,-4.739962e-04
0,1,19,3,-4.328490e-04
0,1,20,4,-3.220625e-04
0,1,21,5,-2.315567e-04
0,1,22,6,-1.868939e-04
0,1,23,7,-1.529175e-04
0,1,24,8,-1.196782e-04
0,1,25,9,-1.272454e-04
0,1,26,10,-1.200077e-04
0,1,27,11,-1.314859e-04
0,1,28,12,-1.464644e-04
0,1,29,13,-1.659338e-04
0,1,30,14,-2.128942e-04
0,1,31,15,-2.989793e-04
0,1,2,18,4.921719e-04
0,1,3,19,4.321371e-04
0,1,4,20,3.205478e-04
0,1,5,21,2.561754e-04
0,1,6,22,1.885732e-04
0,1,7,23,1.511094e-04
0,1,8,24,1.321400e-04
0,1,9,25,1.249525e-04
0,1,10,26,1.251249e-04
0,1,11,27,1.397797e-04
0,1,12,28,1.504222e-04
0,1,13,29,1.797821e-04
0,1,14,30,2.159591e-04
0,1,15,31,3.187251e-04
1,2,16,0,2.429500e-04
1,2,19,3,-6.878015e-04
1,2,20,4,-3.920541e-04
1,2,21,5,-2.629164e-04
1,2,22,6,-1.752781e-04
1,2,23,7,-1.223830e-04
1,2,24,8,-9.203354e-05
1,2,25,9,-8.799911e-05
1,2,26,10,-1.047275e-04
1,2,27,11,-8.929251e-05
1,2,28,12,-8.607807e-05
1,2,29,13,-9.949131e-05
1,2,30,14,-1.135804e-04
1,2,31,15,-1.502355e-04
1,2,0,16,-2.575434e-04
1,2,3,19,6.881912e-04
1,2,4,20,3.981200e-04
1,2,5,21,2.669234e-04
1,2,6,22,1.751980e-04
1,2,7,23,1.208373e-04
1,2,8,24,1.032577e-04
1,2,9,25,9.390207e-05
1,2,10,26,8.879444e-05
1,2,11,27,8.954089e-05
1,2,12,28,9.127434e-05
1,2,13,29,1.010123e-04
1,2,14,30,1.194570e-04
1,2,15,31,1.628627e-04
2,3,16,0,7.197059e-05
2,3,17,1,1.383862e-04
2,3,20,4,-4.631105e-04
2,3,21,5,-2.375442e-04
2,3,22,6,-1.279323e-04
2,3,23,7,-9.342693e-05
2,3,24,8,-5.894132e-05
2,3,25,9,-5.259232e-05
2,3,26,10,-3.481557e-05
2,3,27,11,-3.664064e-05
2,3,28,12,-3.319539e-05
2,3,29,13,-3.040022e-05
2,3,30,14,-3.861920e-05
2,3,31,15,-5.928107e-05
2,3,0,16,-7.568041e-05
2,3,1,17,-1.394190e-04
2,3,4,20,4.537379e-04
2,3,5,21,2.346818e-04
2,3,6,22,1.396916e-04
2,3,7,23,7.408096e-05
2,3,8,24,5.910168e-05
2,3,9,25,3.773966e-05
2,3,10,26,8.197883e-06
2,3,11,27,3.860730e-05
2,3,12,28,3.570672e-05
2,3,13,29,2.962938e-05
2,3,14,30,4.434819e-05
2,3,15,31,5.170007e-05
3,4,16,0,2.136775e-04
3,4,17,1,3.218864e-04
3,4,18,2,6.187027e-04
3,4,21,5,-1.147687e-03
3,4,22,6,-5.573325e-04
3,4,23,7,-2.991807e-04
3,4,24,8,-1.734214e-04
3,4,25,9,-1.353721e-04
3,4,26,10,-1.023973e-04
3,4,27,11,-1.063607e-04
3,4,28,12,-1.073605e-04
