sin+,sin-,v_high,v_low,voltage
0,1,18,2,-4.909059e-04
0,1,19,3,-4.481382e-04
0,1,20,4,-3.377236e-04
0,1,21,5,-2.587903e-04
0,1,22,6,-1.979522e-04
0,1,23,7,-1.538899e-04
0,1,24,8,-1.335193e-04
0,1,25,9,-1.361972e-04
0,1,26,10,-1.291559e-04
0,1,27,11,-1.361410e-04
0,1,28,12,-1.440658e-04
0,1,29,13,-1.692987e-04
0,1,30,14,-2.130655e-04
0,1,31,15,-2.930863e-04
0,1,2,18,3.759776e-04
0,1,3,19,4.393399e-04
0,1,4,20,3.346481e-04
0,1,5,21,2.545033e-04
0,1,6,22,1.947164e-04
0,1,7,23,1.548565e-04
0,1,8,24,1.330767e-04
0,1,9,25,1.252277e-04
0,1,10,26,1.272803e-04
0,1,11,27,1.350899e-04
0,1,12,28,1.450349e-04
0,1,13,29,1.892850e-04
0,1,14,30,2.034877e-04
0,1,15,31,2.951631e-04
1,2,16,0,2.482767e-04
1,2,19,3,-5.509693e-04
1,2,20,4,-4.313265e-04
1,2,21,5,-2.856688e-04
1,2,22,6,-1.909775e-04
1,2,23,7,-1.331530e-04
1,2,24,8,-1.022187e-04
1,2,25,9,-8.865393e-05
1,2,26,10,-8.583649e-05
1,2,27,11,-8.828214e-05
1,2,28,12,-9.190194e-05
1,2,29,13,-9.842211e-05
1,2,30,14,-1.158875e-04
1,2,31,15,-1.533055e-04
1,2,0,16,-2.343086e-04
1,2,3,19,5.481485e-04
1,2,4,20,4.275605e-04
1,2,5,21,2.823508e-04
1,2,6,22,1.870283e-04
1,2,7,23,1.325775e-04
1,2,8,24,1.010618e-04
1,2,9,25,8.809660e-05
1,2,10,26,8.553074e-05
1,2,11,27,8.460995e-05
1,2,12,28,8.773424e-05
1,2,13,29,9.776721e-05
1,2,14,30,1.145522e-04
1,2,15,31,1.507529e-04
2,3,16,0,8.857525e-05
2,3,17,1,1.337376e-04
2,3,20,4,-3.653509e-04
2,3,21,5,-2.657745e-04
2,3,22,6,-1.468534e-04
2,3,23,7,-7.760756e-05
2,3,24,8,-7.697909e-05
2,3,25,9,-4.343834e-05
2,3,26,10,-4.584011e-05
2,3,27,11,-4.228142e-05
2,3,28,12,-3.950082e-05
2,3,29,13,-6.214977e-05
2,3,30,14,-5.177105e-05
2,3,31,15,-5.708142e-05
2,3,0,16,-7.101281e-05
2,3,1,17,-1.264100e-04
2,3,4,20,3.728775e-04
2,3,5,21,2.531146e-04
2,3,6,22,1.429142e-04
2,3,7,23,8.052569e-05
2,3,8,24,7.268191e-05
2,3,9,25,4.240096e-05
2,3,10,26,3.588061e-05
2,3,11,27,2.400756e-05
2,3,12,28,3.291509e-05
2,3,13,29,3.323363e-05
2,3,14,30,3.576331e-05
2,3,15,31,5.296960e-05
3,4,16,0,1.822105e-04
3,4,17,1,3.077642e-04
3,4,18,2,5.690387e-04
3,4,21,5,-8.976859e-04
3,4,22,6,-6.286056e-04
3,4,23,7,-3.401102e-04
3,4,24,8,-2.039965e-04
3,4,25,9,-1.463414e-04
3,4,26,10,-1.186668e-04
3,4,27,11,-1.018398e-04
3,4,28,12,-1.030112e-04
3,4,29,13,-1.123293e-04
3,4,30,14,-1.238362e-04
3,4,31,15,-1.501407e-04
3,4,0,16,-2.007239e-04
3,4,1,17,-3.080683e-04
3,4,2,18,-5.722137e-04
3,4,5,21,8.945728e-04
3,4,6,22,6.247761e-04
3,4,7,23,3.398384e-04
3,4,8,24,2.026430e-04
3,4,9,25,1.432634e-04
3,4,10,26,1.183875e-04
3,4,11,27,1.088129e-04
3,4,12,28,1.059508e-04
3,4,13,29,1.093140e-04
3,4,14,30,1.227038e-04
3,4,15,31,1.461884e-04
4,5,16,0,1.698383e-04
4,5,17,1,2.639694e-04
4,5,18,2,3.548026e-04
4,5,19,3,5.880522e-04
4,5,22,6,-5.333300e-04
4,5,23,7,-4.001077e-04
4,5,24,8,-2.402163e-04
4,5,25,9,-1.668862e-04
4,5,26,10,-1.478060e-04
4,5,27,11,-1.398162e-04
4,5,28,12,-1.618584e-04
4,5,29,13,-1.136571e-04
4,5,30,14,-1.218135e-04
4,5,31,15,-8.161410e-05
4,5,0,16,-1.497022e-04
4,5,1,17,-2.397928e-04
4,5,2,18,-3.840956e-04
4,5,3,19,-5.652013e-04
4,5,6,22,5.339654e-04
4,5,7,23,4.194218e-04
4,5,8,24,2.525770e-04
4,5,9,25,1.590057e-04
4,5,10,26,1.251921e-04
4,5,11,27,7.728556e-05
4,5,12,28,1.004337e-04
4,5,13,29,9.060853e-05
4,5,14,30,1.113490e-04
4,5,15,31,1.563890e-04
5,6,16,0,1.959710e-04
5,6,17,1,2.760647e-04
5,6,18,2,3.374390e-04
5,6,19,3,4.394191e-04
5,6,20,4,9.616568e-04
5,6,23,7,-5.301792e-04
5,6,24,8,-4.999572e-04
5,6,25,9,-3.093876e-04
5,6,26,10,-2.315429e-04
5,6,27,11,-1.868915e-04
5,6,28,12,-2.300219e-04
5,6,29,13,-1.658339e-04
5,6,30,14,-1.655966e-04
5,6,31,15,-1.661911e-04
5,6,0,16,-1.577428e-04
5,6,1,17,-2.711170e-04
5,6,2,18,-3.723427e-04
5,6,3,19,-4.410941e-04
5,6,4,20,-9.631205e-04
5,6,7,23,5.326038e-04
5,6,8,24,4.663524e-04
5,6,9,25,3.025903e-04
5,6,10,26,2.141045e-04
5,6,11,27,1.489725e-04
5,6,12,28,1.553534e-04
5,6,13,29,1.832964e-04
5,6,14,30,1.636057e-04
5,6,15,31,1.710231e-04
6,7,16,0,2.188524e-04
6,7,17,1,2.689097e-04
6,7,18,2,3.065821e-04
6,7,19,3,3.612062e-04
6,7,20,4,5.669548e-04
6,7,21,5,9.032066e-04
6,7,24,8,-5.810298e-04
6,7,25,9,-5.318600e-04
6,7,26,10,-3.588623e-04
6,7,27,11,-2.802724e-04
6,7,28,12,-2.266259e-04
6,7,29,13,-2.076272e-04
6,7,30,14,-2.171236e-04
6,7,31,15,-2.094139e-04
6,7,0,16,-2.107585e-04
6,7,1,17,-2.383394e-04
6,7,2,18,-2.937796e-04
6,7,3,19,-3.258717e-04
6,7,4,20,-5.662204e-04
6,7,5,21,-9.070401e-04
6,7,8,24,5.807554e-04
6,7,9,25,5.264532e-04
6,7,10,26,3.485881e-04
6,7,11,27,2.717733e-04
6,7,12,28,2.156531e-04
6,7,13,29,2.094203e-04
6,7,14,30,2.013165e-04
6,7,15,31,2.112737e-04
7,8,16,0,2.185132e-04
7,8,17,1,2.281005e-04
7,8,18,2,2.495010e-04
7,8,19,3,2.800285e-04
7,8,20,4,3.663960e-04
7,8,21,5,5.108200e-04
7,8,22,6,8.440643e-04
7,8,25,9,-6.316061e-04
7,8,26,10,-5.733942e-04
7,8,27,11,-4.049776e-04
7,8,28,12,-2.899908e-04
7,8,29,13,-2.582762e-04
7,8,30,14,-2.452413e-04
7,8,31,15,-2.199326e-04
7,8,0,16,-2.172663e-04
7,8,1,17,-2.343245e-04
7,8,2,18,-2.573773e-04
7,8,3,19,-2.633812e-04
7,8,4,20,-3.660923e-04
7,8,5,21,-5.147194e-04
7,8,6,22,-8.480547e-04
7,8,9,25,6.422928e-04
7,8,10,26,5.721456e-04
7,8,11,27,4.012743e-04
7,8,12,28,2.858551e-04
7,8,13,29,2.534158e-04
7,8,14,30,2.288817e-04
7,8,15,31,2.199418e-04
8,9,16,0,1.983825e-04
8,9,17,1,2.022898e-04
8,9,18,2,2.050354e-04
8,9,19,3,2.065001e-04
8,9,20,4,2.498584e-04
8,9,21,5,3.139983e-04
8,9,22,6,4.574054e-04
8,9,23,7,7.899018e-04
8,9,26,10,-7.002676e-04
8,9,27,11,-6.484336e-04
8,9,28,12,-3.917781e-04
8,9,29,13,-3.127197e-04
8,9,30,14,-2.625656e-04
8,9,31,15,-2.287582e-04
8,9,0,16,-2.106539e-04
8,9,1,17,-2.059915e-04
8,9,2,18,-2.055934e-04
8,9,3,19,-2.108819e-04
8,9,4,20,-2.527119e-04
8,9,5,21,-3.152408e-04
8,9,6,22,-4.589931e-04
8,9,7,23,-7.939592e-04
8,9,10,26,6.992514e-04
8,9,11,27,6.398279e-04
8,9,12,28,3.879216e-04
8,9,13,29,3.082285e-04
8,9,14,30,2.608288e-04
8,9,15,31,2.286838e-04
9,10,16,0,1.837185e-04
9,10,17,1,1.655609e-04
9,10,18,2,1.587051e-04
9,10,19,3,1.646600e-04
9,10,20,4,1.721204e-04
9,10,21,5,1.981067e-04
9,10,22,6,2.600916e-04
9,10,23,7,4.023185e-04
9,10,24,8,7.396377e-04
9,10,27,11,-7.946927e-04
9,10,28,12,-5.292980e-04
9,10,29,13,-3.779713e-04
9,10,30,14,-2.790370e-04
9,10,31,15,-2.016912e-04
9,10,0,16,-1.853754e-04
9,10,1,17,-1.668570e-04
9,10,2,18,-1.627057e-04
9,10,3,19,-1.535410e-04
9,10,4,20,-1.748201e-04
9,10,5,21,-2.175879e-04
9,10,6,22,-2.653345e-04
9,10,7,23,-4.053051e-04
9,10,8,24,-7.283777e-04
9,10,11,27,7.857659e-04
9,10,12,28,5.253775e-04
9,10,13,29,3.702376e-04
9,10,14,30,2.769557e-04
9,10,15,31,2.172014e-04
10,11,16,0,1.474354e-04
10,11,17,1,1.211220e-04
10,11,18,2,1.113434e-04
10,11,19,3,1.023789e-04
10,11,20,4,1.092474e-04
10,11,21,5,1.212072e-04
10,11,22,6,1.451271e-04
10,11,23,7,2.052361e-04
10,11,24,8,3.440783e-04
10,11,25,9,6.666264e-04
10,11,28,12,-4.100364e-04
10,11,29,13,-4.015224e-04
10,11,30,14,-2.661252e-04
10,11,31,15,-1.848357e-04
10,11,0,16,-1.405288e-04
10,11,1,17,-1.196717e-04
10,11,2,18,-1.130384e-04
10,11,3,19,-1.052236e-04
10,11,4,20,-1.123672e-04
10,11,5,21,-1.582362e-04
10,11,6,22,-1.509999e-04
10,11,7,23,-2.091162e-04
10,11,8,24,-3.439132e-04
10,11,9,25,-6.727093e-04
10,11,12,28,4.054448e-04
10,11,13,29,3.934839e-04
10,11,14,30,2.638107e-04
10,11,15,31,1.833071e-04
11,12,16,0,1.549758e-04
11,12,17,1,1.505349e-04
11,12,18,2,1.145868e-04
11,12,19,3,1.156061e-04
11,12,20,4,1.090823e-04
11,12,21,5,1.141421e-04
11,12,22,6,1.358023e-04
11,12,23,7,1.759018e-04
11,12,24,8,2.798553e-04
11,12,25,9,5.030233e-04
11,12,26,10,1.061358e-03
11,12,29,13,-3.651615e-04
11,12,30,14,-3.621405e-04
11,12,31,15,-2.116048e-04
11,12,0,16,-1.473845e-04
11,12,1,17,-1.255917e-04
11,12,2,18,-1.146423e-04
11,12,3,19,-1.048789e-04
11,12,4,20,-1.102021e-04
11,12,5,21,-1.171216e-04
11,12,6,22,-1.363964e-04
11,12,7,23,-1.747757e-04
11,12,8,24,-2.837997e-04
11,12,9,25,-5.172478e-04
11,12,10,26,-1.064289e-03
11,12,13,29,3.548612e-04
11,12,14,30,3.525758e-04
11,12,15,31,2.248782e-04
12,13,16,0,5.151272e-05
12,13,17,1,4.386836e-05
12,13,18,2,3.797493e-05
12,13,19,3,3.340003e-05
12,13,20,4,3.502621e-05
12,13,21,5,3.396811e-05
12,13,22,6,3.733908e-05
