sin+,sin-,v_high,v_low,voltage
0,16,2,1,2.191425e-04
0,16,3,2,9.732911e-05
0,16,4,3,1.867550e-04
0,16,5,4,1.712958e-04
0,16,6,5,1.854403e-04
0,16,7,6,2.213644e-04
0,16,8,7,2.388064e-04
0,16,9,8,1.844057e-04
0,16,10,9,1.746548e-04
0,16,11,10,1.396600e-04
0,16,12,11,1.459483e-04
0,16,13,12,8.247596e-05
0,16,14,13,1.450364e-04
0,16,15,14,2.803290e-04
0,16,18,17,-2.156952e-04
0,16,19,18,-1.869535e-04
0,16,20,19,-1.548590e-04
0,16,21,20,-1.355465e-04
0,16,22,21,-1.937816e-04
0,16,23,22,-1.764045e-04
0,16,24,23,-1.768900e-04
0,16,25,24,-1.645603e-04
0,16,26,25,-1.472397e-04
0,16,27,26,-1.219692e-04
0,16,28,27,-1.406537e-04
0,16,29,28,-1.301460e-04
0,16,30,29,-2.039004e-04
0,16,31,30,-3.369628e-04
1,17,3,2,5.595381e-05
1,17,4,3,2.914303e-04
1,17,5,4,2.529662e-04
1,17,6,5,2.621810e-04
1,17,7,6,2.559030e-04
1,17,8,7,2.361404e-04
1,17,9,8,2.058467e-04
1,17,10,9,1.699102e-04
1,17,11,10,1.252562e-04
1,17,12,11,1.238769e-04
1,17,13,12,5.584185e-05
1,17,14,13,1.059532e-04
1,17,15,14,1.959927e-04
1,17,16,15,3.382756e-04
1,17,19,18,-1.636980e-04
1,17,20,19,-2.164556e-04
1,17,21,20,-1.787543e-04
1,17,22,21,-1.914996e-04
1,17,23,22,-1.968263e-04
1,17,24,23,-1.862529e-04
1,17,25,24,-1.670467e-04
1,17,26,25,-1.400476e-04
1,17,27,26,-1.032338e-04
1,17,28,27,-1.021375e-04
1,17,29,28,-1.070972e-04
1,17,30,29,-1.617051e-04
1,17,31,30,-2.503835e-04
1,17,0,31,-3.931267e-04
2,18,1,0,-4.808837e-04
2,18,4,3,4.396582e-04
2,18,5,4,3.984348e-04
2,18,6,5,3.525961e-04
2,18,7,6,3.069414e-04
2,18,8,7,2.600967e-04
2,18,9,8,2.111450e-04
2,18,10,9,1.648835e-04
2,18,11,10,1.164662e-04
2,18,12,11,1.116486e-04
