Hz wait=100periods tc=9[x,theta, y,fint,sin+,sin-,v+,v-]
-1.161006e-03,-1.783755e+02,-3.292714e-05,5.000000e+03,0,1,0,1
-1.116350e-03,-1.799330e+02,-1.306232e-06,5.000000e+03,1,2,1,2
-1.142003e-03,1.798756e+02,2.479301e-06,5.000000e+03,2,3,2,3
-1.512037e-03,1.785681e+02,3.779510e-05,5.000000e+03,3,4,3,4
-3.127669e-03,1.788243e+02,6.418835e-05,5.000000e+03,4,5,4,5
-3.162889e-03,-1.793643e+02,-3.509265e-05,5.000000e+03,5,6,5,6
-3.032410e-03,1.785814e+02,7.509389e-05,5.000000e+03,6,7,6,7
-2.892217e-03,1.777054e+02,1.158901e-04,5.000000e+03,7,8,7,8
-2.996196e-03,1.785786e+02,7.434679e-05,5.000000e+03,8,9,8,9
-3.069345e-03,1.789915e+02,5.403113e-05,5.000000e+03,9,10,9,10
-2.961779e-03,1.790166e+02,5.083986e-05,5.000000e+03,10,11,10,11
-2.945828e-03,1.789570e+02,5.362899e-05,5.000000e+03,11,12,11,12
-2.346235e-03,1.793462e+02,2.677208e-05,5.000000e+03,12,13,12,13
-1.517263e-03,1.798371e+02,4.313313e-06,5.000000e+03,13,14,13,14
-1.175944e-03,-1.788201e+02,-2.421989e-05,5.000000e+03,14,15,14,15
-1.082481e-03,-1.799055e+02,-1.785932e-06,5.000000e+03,15,16,15,16
-1.106458e-03,-1.796262e+02,-7.218633e-06,5.000000e+03,16,17,16,17
-1.098077e-03,1.794591e+02,1.036733e-05,5.000000e+03,17,18,17,18
-1.090178e-03,1.796472e+02,6.712378e-06,5.000000e+03,18,19,18,19
-1.113670e-03,-1.790154e+02,-1.914010e-05,5.000000e+03,19,20,19,20
-1.321096e-03,1.797186e+02,6.488257e-06,5.000000e+03,20,21,20,21
-1.160501e-03,1.791099e+02,1.802970e-05,5.000000e+03,21,22,21,22
-1.075110e-03,1.786256e+02,2.579400e-05,5.000000e+03,22,23,22,23
-1.119589e-03,-1.790750e+02,-1.807664e-05,5.000000e+03,23,24,23,24
-1.106017e-03,1.799177e+02,1.588514e-06,5.000000e+03,24,25,24,25
-1.066709e-03,1.788073e+02,2.220876e-05,5.000000e+03,25,26,25,26
-1.051176e-03,1.786625e+02,2.454204e-05,5.000000e+03,26,27,26,27
-1.149142e-03,1.779401e+02,4.133078e-05,5.000000e+03,27,28,27,28
-1.298226e-03,1.788830e+02,2.531275e-05,5.000000e+03,28,29,28,29
-1.140414e-03,1.794899e+02,1.015406e-05,5.000000e+03,29,30,29,30
-1.082648e-03,1.789527e+02,1.979167e-05,5.000000e+03,30,31,30,31
-1.078053e-03,1.785689e+02,2.693312e-05,5.000000e+03,31,0,31,0
